galaxy_id,name,constellations,description,notes
0,Andromeda Galaxy,Andromeda,"Andromeda, which is shortened from ""Andromeda Galaxy"", gets its name from the area of the sky in which it appears, the constellation of Andromeda.",Andromeda is the closest big galaxy to the Milky Way and is expected to collide with the Milky Way around 4.5 billion years from now. The two will eventually merge into a single new galaxy called Milkdromeda.
1,Antennae Galaxies,Corvus,Appearance is similar to an insect's antennae.,Two colliding galaxies
2,Backward Galaxy,Centaurus,"It appears to rotate backwards, as the tips of the spiral arms point in the direction of rotation.",
3,Bear Paw Galaxy,Lynx,It resembles the appearance of a bear's claw.,"Also known as ""Bear Claw Galaxy."""
4,Black Eye Galaxy,Coma Berenices,"It has a spectacular dark band of absorbing dust in front of the galaxy's bright nucleus, giving rise to its nicknames of the ""Black Eye"" or ""Evil Eye"" galaxy.","Also known as ""Sleeping Beauty Galaxy."""
5,Bode's Galaxy,Ursa Major,Named for Johann Elert Bode who discovered this galaxy in 1774.,Also known as Messier 81. The largest galaxy in the M81 Group. It harbors a supermassive black hole 70 million times the mass of the Sun.
6,Butterfly Galaxies,Virgo,Looks are similar to a butterfly.,
7,Cartwheel Galaxy,Sculptor,Its visual appearance is similar to that of a spoked cartwheel.,"The largest in the Cartwheel Galaxy group, made up of four spiral galaxies"
8,Cigar Galaxy,Ursa Major,Appears similar in shape to a cigar.,Also known as Messier 82 or M82
9,Circinus Galaxy,Circinus,Named after the constellation it is located in (Circinus).,
10,Coma Pinwheel Galaxy,Coma Berenices,Named after its resemblance to the Pinwheel Galaxy and its location in the Coma Berenices constellation.,Also known as Messier 99 or M99
11,Comet Galaxy,Sculptor,"This galaxy is named after its unusual appearance, looking like a comet.","The comet effect is caused by tidal stripping by its galaxy cluster, Abell 2667."
12,Condor Galaxy,Pavo,"Named after a condor, a type of vulture that is one of the largest flying birds.","The largest known spiral galaxy, it has a diameter of over 665,300 light-years (204.0 kiloparsecs).[3] It is tidally disturbed by the smaller lenticular galaxy IC 4970.[4]"
13,Cosmos Redshift 7,Sextans,"The name of this galaxy is based on a Redshift (z) measurement of nearly 7 (actually, z = 6.604).[5]",Galaxy Cosmos Redshift 7 is reported to be the brightest of distant galaxies (z > 6) and to contain some of the earliest first stars (first generation; Population III) that produced the chemical elements needed for the later formation of planets and life as we know it.[5]
14,Eye of God,Eridanus,Name after its structural appearance,A prototype for multi-arm spiral galaxies
15,Eye of Sauron,Canes Venatici,Due to its resemblance to the Eye of Sauron from The Lord of the Rings.,
16,Fireworks Galaxy,Cygnus and Cepheus,Due to its bright and spotty appearance,Active starburst galaxy
17,Grasshopper,Lynx,Named after its appearance to a grasshopper,Two colliding galaxies
18,Hockey Stick Galaxies,Canes Venatici,Its elongated and curved appearance resembles a hockey stick.,Also known as Crowbar Galaxy
19,Hoag's Object,Serpens Caput,"This is named after Art Hoag, who discovered this ring galaxy.","It is of the subtype Hoag-type galaxy, and may in fact be a polar-ring galaxy with the ring in the plane of rotation of the central object."
20,Large Magellanic Cloud,Dorado/Mensa,Named after Ferdinand Magellan,"This is the fourth-largest galaxy in the Local Group, and forms a pair with the SMC, and from recent research, may not be part of the Milky Way system of satellites at all.[6]"
21,Lindsay-Shapley Ring,Volans,"Named after its discoverer, Eric Lindsay, his professor Harlow Shapley, and its nature as a ring galaxy.",The ring is the result of collision with another galaxy
22,Little Sombrero Galaxy,Pegasus,Named after its similarity to the Sombrero Galaxy.,
23,Malin 1,Coma Berenices,Discovered and named by David Malin.,Also known as Messier 99 or M99
24,Medusa Merger,Ursa Major,Ejected dust from the merging galaxies is said to look like the snakes that the Gorgon Medusa from Greek mythology had on her head.,
25,Sculptor Dwarf Galaxy,Sculptor,Similar to the Sculpture Galaxies,"Also known as Sculptor Dwarf Elliptical Galaxy, Sculptor Dwarf Spheroidal Galaxy, and formerly as the Sculptor System"
26,Mice Galaxies,Coma Berenices,Appearance is similar to a mouse.,
27,Small Magellanic Cloud,Tucana,Named after Ferdinand Magellan,"This forms a pair with the LMC, and from recent research, may not be part of the Milky Way system of satellites at all."
28,Mayall's Object,Ursa Major,"This is named after Nicholas Mayall, of the Lick Observatory, who discovered it.[7][8][9]","Also called VV 32 and Arp 148, this is a very peculiar looking object, and is likely to be not one galaxy, but two galaxies undergoing a collision. Event in images is a spindle shape and a ring shape."
29,Milky Way,Sagittarius (centre),The appearance from Earth of the galaxy—a band of light,"The galaxy containing the Sun and its Solar System, and therefore Earth."
30,Needle Galaxy,Coma Berenices,Named due to its slender appearance.,Also known as Caldwell 38
31,Wolf-Lundmark-Melotte,Cetus,Named for the three astronomers instrumental in its discovery and identification.,
32,Paramecium Galaxy,Pegasus,Named after its appearance to the organism Paramecium,It is included in the Atlas of Peculiar Galaxies in the category galaxies with detached segments.
33,Peekaboo Galaxy,Hydra,Galaxy (aka HIPASS J1131-31) was hidden behind a relatively fast-moving foreground star (TYC 7215-199-1) and became observable when the star moved aside.,"Galaxy, relatively nearby, is considered one of the most metal-poor (""extremely metal-poor"" (XMP)), least chemically enriched, and seemingly primordial, galaxies known.[10][11]"
34,Pinwheel Galaxy,Ursa Major,Similar in appearance to a pinwheel (toy).,Also known as Messier 101 or M101
35,Sculptor Galaxy,Sculptor,"Named after its location in the Sculptor Constellation. Also called the Silver Dollar or Silver Coin Galaxy, because of its light and circular appearance.","Also known as the Silver Coin, Silver Dollar Galaxy or Caldwell 65"
36,Sombrero Galaxy,Virgo,Similar in appearance to a sombrero.,Also known as Messier Object 104 or M104
37,Southern Pinwheel Galaxy,Hydra,Named after its resemblance to the Pinwheel Galaxy and its location in the southern celestial hemisphere.,
38,Spider Galaxy,Boötes,Name after its appearance of a spider,
39,Sunflower Galaxy,Canes Venatici,Similar in appearance to a sunflower.,
40,Tadpole Galaxy,Draco,The name comes from the resemblance of the galaxy to a tadpole.,This shape resulted from tidal interaction that drew out a long tidal tail.
41,Triangulum Galaxy,Triangulum,Named after its location within the Triangulum constellation.,
42,Whirlpool Galaxy,Canes Venatici,From the whirlpool appearance this gravitationally disturbed galaxy exhibits.,
43,Unknown,None,None,None
